CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOABD;TC Angio Abdominal;;TCANGIOABD;AngioTac  Abdominal;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOABD(A);TC Angio Abdominal con Anestesia;;TCANGIOABD(A);Angiotac de Abdominal con Anestesia;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOAOEEII;TC Angio Aorta y Extr. Inferiores;;TCANGIOAOEEII;Angiotac de Aorta, Iliacas y Extremidades Inferiores;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOAOEEII(A);(A) TC Angio Aorta y Extr. Inferiores con Anestesia;;TCANGIOAOEEII(A);Angiotac Aorta Iliacas y Extremidades Inferiores con Anestesia;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOCARA;TC Angio  de Cara;;TCANGIOCARA;AngioTac de Cara;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOCARA(A);TC Angio de Cara con Anestesia;;TCANGIOCARA (A);AngioTac de Cara con Anestesia;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOEXTINF;TC Angio Extremidad Inferiores;;TCANGIOEEII;Angiotac de Extremidades Inferiores;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOEXTINF(A);(A) TC Angio Extremidad Inferiores con Anestesia;;TCANGIOEEII(A);Angiotac de Extremidades Inferiores con Anestesia;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOEXTSUP;TC Angio Extremidad Superior;;TCANGIOEESS;Angiotac de Extremidad Superior;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOEXTSUP (A);(A) TC Angio Extremidad Superior con Anestesia;;TCANGIOEESS(A);Angiotac de Extremidad Superior con anestesia;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOMESENT;TC Angio Art.Mesenterica;;TCANGIOARTMES;Angiotac de Arterias Mesentericas;;No;;CTMR
CT ANGIOCUERPO;TC AngioCuerpo;CTANGIOMESENT (A);(A) TC Angio Art.Mesenterica con Anestesia;;TCANGIOARTMES(A);Angiotac de Arterias Mesentericas con Anestesia;;No;;CTMR
